color,make,model,model_variant,city
Other,Mercedes-Benz,E 320,E 320 Elégance 4-Matic,Zuzwil
Other,Lamborghini,,Espada GT 400 Serie 3,Zuzwil
Blue,Ferrari,F360,F360 Modena Berlinetta,Zuzwil
Silver,Alfa Romeo,8C,8C,Porrentruy
Silver,BMW,2002,2002 Turbo,Zuzwil
Silver,Datsun,,SPORTS 2000,Zuzwil
Silver,Audi,A8,A8 4.2 quattro,Zuzwil
Silver,Lamborghini,GALLARDO,Gallardo 5.0 V10 Coupé SE,Zuzwil
Silver,Mercedes-Benz,280,280 3.5 V8 Cabrio,Sursee
Silver,Mercedes-Benz,SL 320,SL 320,Zuzwil
Silver,Porsche,CAYENNE,Cayenne Turbo,Zuzwil
Silver,BMW,745,745i,Zuzwil
Silver,Porsche,911,911 Carrera 2 RS,Zuzwil
Blue,Porsche,911,911 Carrera 4 Cabrio TECHART,Zuzwil
Silver,Mercedes-Benz,E 55 AMG,E 55 AMG Avantgarde,Zuzwil
Silver,Audi,RS6,RS6 Avant quattro,Zuzwil
Silver,Lamborghini,DIABLO,Diablo 5.7 VT,Zuzwil
Silver,Mercedes-Benz,,300SL Roadster,Sursee
Silver,Alfa Romeo,8C,8C Coupé,Zuzwil
Silver,Mercedes-Benz,ML 400,ML 400 CDI,Zuzwil
Silver,VW,GOLF,Golf 2.0 TFSI GTI,Zuzwil
Silver,VW,JETTA,Jetta 2.0 TDI Comfort,Zuzwil
Silver,Mercedes-Benz,190,190 E 2.5-16 ABS,Zuzwil
Silver,Wiesmann,COUPE,GT MF5,Zuzwil
Blue,Porsche,911,911 Turbo Cabrio,Zuzwil
Silver,BMW,Z4,Z4 M Coupé,Zuzwil
Silver,Renault,Alpine A110,Alpine A110 1300S,Zuzwil
Silver,Maserati,COUPÉ GT,Coupé GT,Zuzwil
Silver,Renault,ALPINE,ALPINE 1600 VF,Zuzwil
Silver,Audi,A8,A8 4.2 quattro,Zuzwil
Silver,Chevrolet,CORVETTE,Corvette Z06,Zuzwil
Silver,Toyota,COROLLA,Corolla 1600 GTi TC16,Zuzwil
Silver,Mercedes-Benz,CLK 55 AMG,CLK 55 AMG Avantgarde,Zuzwil
Silver,Audi,S7,S7 Sportback 4.0 TFSI V8 quattro,Zuzwil
Silver,Bentley,ARNAGE,Arnage T,Basel
Blue,Audi,RS4,RS4 4.2 V8 quattro,Zuzwil
Silver,Mercedes-Benz,E 55 AMG,E 55 AMG Avantgarde,Zuzwil
Silver,Porsche,911,911 Turbo,Zuzwil
Silver,BMW,645,645i,Zuzwil
Silver,Porsche,911,911 GT3,Zuzwil
Silver,Mercedes-Benz,E 420,E 420 Avantgarde,Zuzwil
Silver,Porsche,911,911 Carrera 4 S,Zuzwil
Silver,Aston Martin,DB9,DB9 Volante,Zuzwil
Silver,Triumph,Dolomite,Dolomite Sprint,Zuzwil
Silver,Mercedes-Benz,SL 500,SL 500,Zuzwil
Silver,BMW,M6,M6,Zuzwil
Blue,Audi,RS4,RS4 Avant quattro,Zuzwil
Silver,Porsche,911,911 GT2,Zuzwil
Silver,Renault,ALPINE,Alpine A310 V6,Zuzwil
