ConsumptionRatingText,FirstRegYear,Doors,InteriorColorText,Co2EmissionText,FirstRegMonth,Seats,ConsumptionTotalText,Ccm,ConditionTypeText,Properties,BodyColorText,DriveTypeText,TransmissionTypeText,Km,Hp,BodyTypeText,FuelTypeText,City,MakeText,ModelText,ModelTypeText,TypeName,TypeNameFull,entity_id
null,1999,4,grau,275 g/km,1,5,11.5 l/100km,3199,Occasion,"""Ab MFK""",anthrazit,Allrad,Automat,31900,224,Limousine,Benzin,Zuzwil,MERCEDES-BENZ,E 320,E 320 Elégance 4-Matic,E 320 Elégance 4-Matic,MERCEDES-BENZ E 320 Elégance 4-Matic,aa431da6-c684-40fb-9951-5eb4a6db553b
null,1973,2,schwarz,null,4,4,null,3929,Oldtimer,"""Ab MFK""",anthrazit mét.,Hinterradantrieb,Schaltgetriebe,48000,350,Coupé,Benzin,Zuzwil,LAMBORGHINI,,Espada GT 400 Serie 3,Espada GT 400 Serie 3,LAMBORGHINI Espada GT 400 Serie 3,1a5cb6a9-3184-4127-94b0-1141bcf458ec
G,2004,2,beige,440 g/km,2,2,19.3 l/100km,3586,Occasion,"""Ab MFK""",blau mét.,Hinterradantrieb,Automatisiertes Schaltgetriebe,42600,400,Coupé,Benzin,Zuzwil,FERRARI,F360,F360 Modena Berlinetta,F360 Modena Berlinetta,FERRARI F360 Modena Berlinetta,f43f5c09-e8ce-4863-8961-39ad4bc04fa9
null,2011,2,schwarz,null,4,0,null,4691,Occasion,"""Ab MFK""",silber mét.,Hinterradantrieb,Automatik-Getriebe,23900,450,Cabriolet,Benzin,Porrentruy,ALFA ROMEO,8C,8C,null,ALFA ROMEO 8C,b5b48f5d-9170-4388-9160-41d3c756e0e1
null,1974,2,schwarz,null,3,4,null,1977,Occasion,"""Ab MFK""",silber mét.,Hinterradantrieb,Schaltgetriebe,97100,170,Limousine,Benzin,Zuzwil,BMW,2002,2002 Turbo,Turbo,BMW 2002 Turbo,e93f2a20-8870-40d0-a329-d977527db609
null,1969,2,schwarz,null,7,2,null,2000,Occasion,"""Ab MFK""",silber mét.,null,null,23300,143,Cabriolet,Benzin,Zuzwil,DATSUN,,SPORTS 2000,SPORTS 2000,DATSUN SPORTS 2000,9042d24e-ea2e-49d8-846c-9b86d6c73899
null,1997,4,schwarz,322 g/km,1,5,13.5 l/100km,4172,Occasion,"""Ab MFK""",silber mét.,Allrad,Automat,66300,300,Limousine,Benzin,Zuzwil,AUDI,A8,A8 4.2 quattro,A8 4.2 quattro,AUDI A8 4.2 quattro,9d6bb960-da9f-44d7-bef0-d7dcabf01205
G,2006,2,schwarz,400 g/km,1,2,17.0 l/100km,4961,Occasion,"""Ab MFK""",silber mét.,Allrad,Automatisiertes Schaltgetriebe,20000,520,Coupé,Benzin,Zuzwil,LAMBORGHINI,GALLARDO,Gallardo 5.0 V10 Coupé SE,Gallardo 5.0 V10 Coupé SE,LAMBORGHINI Gallardo 5.0 V10 Coupé SE,b0edbc85-3e45-4939-b4d7-0d83ea7e64de
null,1971,2,beige,null,2,4,null,3499,Occasion,null,silber mét.,null,null,500,200,Cabriolet,Benzin,Sursee,MERCEDES-BENZ,280,280 3.5 V8 Cabrio,3.5 V8 Cabrio,MERCEDES-BENZ 280 3.5 V8 Cabrio,aeb82ca9-e162-48d8-84dc-cca0d98dd2cc
null,1996,2,schwarz,297 g/km,7,2,12.5 l/100km,3199,Occasion,"""Ab MFK""",silber mét.,Hinterradantrieb,Automat,156800,231,Cabriolet,Benzin,Zuzwil,MERCEDES-BENZ,SL 320,SL 320,SL 320,MERCEDES-BENZ SL 320,a0c345d2-9091-4e11-83d3-c5b064a2b44c
